,tripduration,start station latitude,start station longitude,end station latitude,end station longitude
193,734,40.71559509,-73.9870295,40.74177603,-74.00149746
194,1460,40.73935542,-73.99931783,40.7652654,-73.98192338
195,1274,40.70862144,-74.00722156,40.72210378668603,-73.99724900722505
196,583,40.7284186,-73.98713956,40.76727216,-73.99392888
197,762,40.71939226,-74.00247214,40.72210378668603,-73.99724900722505
198,195,40.720873600000004,-73.98085795,40.72066442,-73.98517977
199,263,40.71307916,-73.99851193,40.71910537,-73.99973337
200,2436,40.69236178,-73.98631746,40.68764484,-73.96968902
201,221,40.68981035,-73.97493121,40.68981035,-73.97493121
202,643,40.73047747,-73.99906065,40.72743423,-73.99379025
203,1106,40.70862144,-74.00722156,40.72210378668603,-73.99724900722505
204,1872,40.74195138,-74.00803013,40.715337899999994,-74.01658354
205,1869,40.76227205,-73.98788205,40.715337899999994,-74.01658354
206,629,40.71939226,-74.00247214,40.72210378668603,-73.99724900722505
207,476,40.73401143,-74.00293877,40.72317958,-73.99480012
208,668,40.70569254,-74.01677685,40.73261787,-73.99158043
209,643,40.76344058,-73.98268129,40.75510267,-73.97498696
210,630,40.75466591,-73.99138152,40.75510267,-73.97498696
212,766,40.726280700000004,-73.98978041,40.72710258,-74.00297088
213,551,40.73226398,-73.99852205,40.72229346,-73.99147535
214,539,40.74394314,-73.97966069,40.75828065,-73.97069431
215,6842,40.71850211,-73.98329859,40.75929124,-73.98859651
216,1853,40.72917025,-73.99810231,40.76727216,-73.99392888
217,1345,40.689888,-73.981013,40.74394314,-73.97966069
218,278,40.722055,-73.989111,40.720873600000004,-73.98085795
219,831,40.72467721,-73.98783413,40.72740794,-73.98142006
220,1219,40.71534825,-73.96024116,40.76095756,-73.96724467
221,1592,40.72015227023285,-74.01036500930786,40.70463334,-74.01361706
222,736,40.74394314,-73.97966069,40.76095756,-73.96724467
223,1872,40.71911552,-74.00666661,40.71850211,-73.98329859
224,468,40.73401143,-74.00293877,40.73047309,-73.98672378
225,829,40.69165183,-73.99997859999999,40.68926942,-73.98912867
226,1591,40.689888,-73.981013,40.74238787,-73.99726235
227,941,40.715815500000005,-73.99422366,40.72110063,-73.99192540000001
228,266,40.73492695,-73.99200509,40.7454973,-74.00197139
229,1265,40.72015227023285,-74.01036500930786,40.70463334,-74.01361706
230,1276,40.72917025,-73.99810231,40.74173969,-73.99415556
231,1008,40.7489006,-73.97604882,40.76370739,-73.9851615
232,992,40.7489006,-73.97604882,40.724399,-74.004704
233,1020,40.72066442,-73.98517977,40.73454567,-73.99074142
234,1382,40.740343200000005,-73.98955109,40.74238787,-73.99726235
235,819,40.740343200000005,-73.98955109,40.72019576,-73.98997825
236,56671,40.69512845,-73.99595065,40.73381219196632,-73.9805442094803
237,1377,40.73401143,-74.00293877,40.73535398,-74.00483091
238,951,40.71494807,-74.00234482,40.70823502,-74.00530063
239,1353,40.740343200000005,-73.98955109,40.72740794,-73.98142006
240,1361,40.70569254,-74.01677685,40.72740794,-73.98142006
241,629,40.68683208,-73.9796772,40.6809833854,-73.9500479759
242,644,40.72210378668603,-73.99724900722505,40.73331967,-73.99510132
243,277,40.74691959,-74.00451887,40.74317449,-74.00366443
244,341,40.742354299999995,-73.98915076,40.685226719472546,-73.97800147533417
245,624,40.72019576,-73.98997825,40.714215,-73.981346
246,1093,40.70823502,-74.00530063,40.70463334,-74.01361706
247,1056,40.689888,-73.981013,40.70463334,-74.01361706
248,1659,40.74177603,-74.00149746,40.770513,-73.988038
249,1491,40.71625008,-74.0091059,40.76584941,-73.98690506
250,1204,40.75066386,-74.00176802,40.72229346,-73.99147535
251,139929,40.72621788,-73.98379855,40.740343200000005,-73.98955109
252,1231,40.75066386,-74.00176802,40.72229346,-73.99147535
253,354,40.72019576,-73.98997825,40.72066442,-73.98517977
254,786,40.70823502,-74.00530063,40.70463334,-74.01361706
255,504,40.7284186,-73.98713956,40.73587678,-73.98205027
256,1535,40.68753406,-73.97265183,40.73726186,-73.99238967
257,1975,40.74195138,-74.00803013,40.72317958,-73.99480012
258,479,40.72621788,-73.98379855,40.71893904,-73.99266288
259,1210,40.770513,-73.988038,40.74780373,-73.97344190000001
260,880,40.746745000000004,-74.007756,40.76095756,-73.96724467
261,1129,40.689888,-73.981013,40.759107,-73.959223
262,1458,40.76228826,-73.98336183,40.71291224,-74.01020234
263,301,40.72467721,-73.98783413,40.72299208,-73.97995466
264,2890,40.75038009,-73.98338988,40.69308257,-73.97178913
265,132,40.71260486,-73.96264403,40.710451,-73.960876
266,29784,40.689888,-73.981013,40.73226398,-73.99852205
267,498,40.7454973,-74.00197139,40.739445,-73.97680600000001
268,1821,40.689888,-73.981013,40.72210378668603,-73.99724900722505
269,1158,40.742354299999995,-73.98915076,40.74854862,-73.98808416
270,1286,40.68764484,-73.96968902,40.74206539,-74.00443172
271,725,40.72243797,-74.00566443,40.726280700000004,-73.98978041
272,1448,40.70255065,-74.0127234,40.71269042,-73.98776323
273,2798,40.71754834,-74.01322069,40.73454567,-73.99074142
274,290,40.68981035,-73.97493121,40.68851534,-73.9647628
275,226,40.720873600000004,-73.98085795,40.71739973,-73.98016555
276,374,40.68415748,-73.96922273,40.68900443,-73.96023854
277,1314,40.70255065,-74.0127234,40.71269042,-73.98776323
278,962,40.7606597,-73.98042047,40.646606799999994,-74.01597
279,253,40.76269882,-73.99301222,40.76584941,-73.98690506
280,103,40.74238787,-73.99726235,40.74238787,-73.99726235
281,353,40.75038009,-73.98338988,40.75255434,-73.97282625
282,59406,40.72019576,-73.98997825,40.739323,-74.008119
283,673,40.73971301,-73.99456405,40.71748752,-74.0104554
284,921,40.73038599,-74.00214988,40.72210378668603,-73.99724900722505
285,1751,40.73454567,-73.99074142,40.72243797,-74.00566443
286,1314,40.72917025,-73.99810231,40.746745000000004,-74.007756
287,618,40.73224119,-74.00026394,40.74475148,-73.99915362
288,230,40.71406667,-73.99293911,40.71605866,-73.99190759
290,1021,40.7172274,-73.98802084,40.71285887,-73.96590294
291,128,40.7462009,-73.98855723,40.7462009,-73.98855723
292,150,40.728846000000004,-74.00859100000001,40.73172428,-74.00674436
293,500,40.73401143,-74.00293877,40.73331967,-73.99510132
294,540,40.68382604,-73.97632328,40.680342423,-73.9557689392
295,1077,40.74901271,-73.98848395,40.76590936,-73.97634151
296,246,40.72019576,-73.98997825,40.72019576,-73.98997825
297,1475,40.74854862,-73.98808416,40.70569254,-74.01677685
298,1003,40.74901271,-73.98848395,40.76590936,-73.97634151
299,483,40.7568001,-73.98291153,40.74780373,-73.97344190000001
300,451,40.73331967,-73.99510132,40.73047309,-73.98672378
301,932,40.724399,-74.004704,40.76590936,-73.97634151
303,1428,40.74854862,-73.98808416,40.746745000000004,-74.007756
304,414,40.740343200000005,-73.98955109,40.74475148,-73.99915362
305,1578,40.73020660529954,-73.99102628231049,40.76695317,-73.98169333
306,1530,40.73020660529954,-73.99102628231049,40.695065,-73.987167
307,250,40.680342423,-73.9557689392,40.6809833854,-73.9500479759
308,1318,40.71285887,-73.96590294,40.68807003,-73.98410637
309,237,40.71406667,-73.99293911,40.71117416,-74.00016545
310,1358,40.69512845,-73.99595065,40.72740794,-73.98142006
311,985,40.76020258,-73.96478473,40.72955361,-73.98057249
312,181,40.72779126,-73.98564945,40.7284186,-73.98713956
313,225,40.74394314,-73.97966069,40.73587678,-73.98205027
314,464,40.746745000000004,-74.007756,40.74444921,-73.98303529
316,355,40.73047747,-73.99906065,40.7284186,-73.98713956
317,672,40.71260486,-73.96264403,40.71260486,-73.96264403
318,673,40.71559509,-73.9870295,40.72779126,-73.98564945
319,1100,40.74487634,-73.99529885,40.71413089,-73.99704679999999
320,958,40.72019576,-73.98997825,40.751872999999996,-73.97770600000001
321,188,40.72621788,-73.98379855,40.722852,-73.959114
322,1057,40.74177603,-74.00149746,40.745712100000006,-73.98194829
323,620,40.73454567,-73.99074142,40.7284186,-73.98713956
324,590,40.73454567,-73.99074142,40.7284186,-73.98713956
325,683,40.7284186,-73.98713956,40.715815500000005,-73.99422366
326,302,40.751396,-74.00522600000001,40.75645824,-73.99372222
327,454,40.722055,-73.989111,40.714215,-73.981346
328,886,40.75066386,-74.00176802,40.734232,-73.986923
